тисяч
тисяча
тисячам
тисячами
тисячах
тисяче
тисячею
тисячу
мільйон
мільйона
мільйонам
мільйонами
мільйонах
мільйоне
мільйони
мільйонові
мільйоном
мільйону
мільйоні
мільйонів
мільярд
мільярда
мільярдам
мільярдами
мільярдах
мільярде
мільярди
мільярдові
мільярдом
мільярду
мільярді
мільярдів
